Hospital Name,Address
Escorts Heart Institute & Research Center,"Okhla Road, New Delhi-110 025"
Jaipur Golden Hospital,"2, Institutional Area, Sec.3, Rohini, New Delhi-110085"
Moolchand Khairati Ram Hospital & Ayurvedic Research Institute,"Lajpat Nagar - III, New Delhi-24"
R.G. Stone Urology & Laparoscopy Hospital (A unit of R.G. Scientific Enterprises Ltd.),"F-12, East of Kailash, New Delhi- 110065"
Indraprastha Apollo Hospital,Mathura Road Sarita Vihar New Delhi-110076
Max Smart Super Speciality Hospital (A Unit of Gujarmal Modi Hospital & Research Centre for Medical Sciences),"Mandir Marg, Press Enclave Road, Saket, New Delhi - 110017"
Max Super Specialty Hospital (A Unit of Max Healthcare Institute Limited),"1, Press Enclave Road (West Block), Saket, New Delhi, PIN-110017"
Flt. Lt. Rajan Dhall Charitable Trust,"Sector-B, Pocket-1, Aruna Asaf Ali Marg, Vasant Kunj, New Delhi-110070"
Shroff Eye Centre,"A-9, Kailash Colony, New Delhi-110048"
Dharamshila Rahat Medical Center (A Unit of Dharamshila Cancer Foundation & Research Center),"Service Center No. 11, Pocket-11A, Near New Ashok Nagar Police Station, Vasundhara Enclave, Delhi-110096"
Sri Balaji Action Medical Institute (A unit of Munni Lal Mange Ram Charitable Trust),"A-4, Pashchim Vihar, New Delhi-110063"
Batra Hospital and Medical Research Centre,"1, Tughlakabad Institutional Area, Mehrauli Badarpur Road, New Delhi - 110062"
Max Multi-Specialty Centre (A Unit of Max Healthcare Institute Limited),"N-110, Panchsheel Park, New Delhi-110017"
Sitaram Bhartia Institute of Science & Reasearch,"B-16, Kutub Institutional Area, New Delhi-110016"
Eye 7 Hospitals Pvt. Limited,"34, Lajpat Nagar IV, Main Ring Road, New Delhi-110024"
Venkateshwar Hospital,"Sector-18A, Dwarka, New Delhi - 110075"
Indian Spinal Injuries Centre,"Sector-C, Vasant Kunj, New Delhi-110070"
"Max Super Speciality Hospital, (A unit of Balaji Medical and Diagnostic Research Centre)","108A, Indraprastha Extension, Patparganj, New Delhi-110092"
Fortis Hospital,"Block-A, Shalimar Bagh, New Delhi-110088"
Dr. B. L. Kapoor Memorial Hospital (A Unit of Lahore Hospital Society),"Pusa Road, New Delhi-110005"
Centre For Sight,"B - 5/24, Safdarjung Enclave, New Delhi-110029"
Dharamshila Narayana Superspeciality Hospital,"Dharamshila marg, Vasundhara Enclave, Delhi 110096"
Ayushman Hospital and Health Services,"Sector-10, Dwarka, New Delhi-110075"
Kailash Deepak Hospital (A unit of Deepak Gupta Memorial Foundation),"5 & 6 Institutional Area, Vikas Marg, Extension-II, Delhi-110092"
Rajiv Gandhi Cancer Institute (A unit of Indraprastha Cancer Society & Research Centre),"D-18, Sector 5, Rohini, New Delhi, PIN-110085"
Max Super Specialty Hospital (A Unit of Devki Devi Foundation),"2, Press Enclave Road (East Block), Saket, New Delhi - 110017"
Sir Ganga Ram Hospital,"Rajinder Nagar, New Delhi - 110060"
Pushpawati Singhania Hospital & Research Institute (PSRI),"Press Enclave Marg, Sheik Sarai-II, New Delhi-110017"
Metro Hospital & Cancer Institute,"21, Community Centre, Preet Vihar, Delhi - 110 092."
Ankur Maitrika Hospital (OPC) Pvt. Ltd.,"Ward No. 55, Channi By Pass, Near Jodhamal Public School, Jammu-180012"
Shri Mata Vaishno Devi Narayana Superspeciality Hospital,"Kakryal Katra, Reasi, Jammu and Kashmir-182320"
Bee Enn General Hospital,"Talab Tilo Road, Jammu (Union Territory of Jammu & Kashmir)"
Acharya Shri Chander College of Medical Sciences and Hospital,"P.B.No.5, N.H. Bye Pass, Sirdhar Jammu-180006 (Union Territory of Jammu & Kashmir"
Plus Medicare Hospital Pvt. Ltd. (Paras Health),"Durganag, Dalgate Bridge, Munshi Bagh, Srinagar, J&K-190001"
Chand Eye Clinic,74 A/D Gandhi Nagar Jammu
AMRI Hospitals Limited,"Plot No. 1 (Besides Satya Sai Enclave), Khandagiri, Bhubaneswar Odisha-751030"
Apollo Hospital,"Plot No. 251, Sanik School Road, Bhubaneswar, PIN-751005 (Odisha)"
Sparsh Hospitals & Critical Care (Pvt) Ltd.,"Plot no. A/407, Shaheed Nagar, Bhubaneswar Odisha -751007"
Medanta Abdur Razzaque Ansari Memorial Weavers Hospital,"PO Irba, PS Ormanjhi, Distt Ranchi, Jharkhand-835217"
Brahmananda Narayana Multispecialty Hospital,"NH-33, Tamolia Village, BNH More, Near Pardih Chowk, Jamshedpur-831012"
Santevita Hospital,"1 HB Road, Near Firayalal Chowk, Ranchi-834001 (Jharkhand)"
Hayat Hospital (A Unit of Hayat Hospital Pvt Ltd),"Lalganesh, Guwahati, Assam-781034"
Narayan Super Speciality Hospital (A Unit of Narayan Harudayalaya Ltd),"Near Tula Ram Bafna Civil Hospital Campus, Amingaon, Guwahati, Assam-781031"
Silvercrest Multispeciality Hospital (A unit of Dr. Amiya Healthcare Pvt Ltd),"Moidomia, Borbocha, North Lakhimpur, Assam-787302"
"GNRC Hospital, Dispur (A unit of GNRC Ltd)","GNRC Complex, Dispur, Guwahati, Assam- 781006"
Apollo Hospital,"Lotus Tower, Christian Basti, G. S. Road, Guwahati-781005 (Assam)"
Srimanta Sankardeva Hospital & Research Institute,"Mancotta Road, Dibrugarh, Assam-786001"
Apeksha Hospital,"Jalan Nagar, AMC Road, Dibrugarh, Assam-786005"
Shija Hospital and Research Institute,"Health City, Lanjol, Imphal West, MANIPUR-795004"
Apollo Speciality Hospital,"Ayanambakkam, Chennai, Tamilnadu - 600095"
Medical Research Foundation,"18 College Road (New No. 41), Chennai, Tamilnadu-600006"
Apollo Main Hospital,"Greams Road, Chennai, Tamil Nadu, PIN-600006"
Apollo Speciality Hospital,"Madurai, Tamil Nadu, PIN-625706"
DR. Rela Institute & Medical Centre,"No. 7, CLC Works Road, Chromepet, Chennai, Tamil Nadu - 600044"
Apollo Specialty Hospital (Cancer Hospital),"No. 320, Anna Salai, Nandanam, Chennai, Tamil Nadu, Pin-600035"
M/s Fortis Hospitals Ltd. (Fortis Hospital Bannerghatta Road),"154/9, Bilekahalli Village, Bannerghatta Road, Begur, Hubli, Bengaluru, Karnataka -560076."
M. S. Ramaiya Memorial Hospital,"M.S.R. Nagar, MSRIT Post, New BEL Road, Bangalore-560054, Karnataka"
Aster RV Hospital,"CA-37, 24TH Main ITI Layout, I Phase, JP Nagar, Bengaluru, Karnataka-560078"
Aster CMI Hospital,"No.43/2, Sahakara Nagar, Hebbal, Bengaluru, Karnataka-560092"
Manipal Hospitals Vijayawada ( A unit of Manipal Hospitals (Jaipur) Private Limited),"Near Varadhi, Vijayawada, Tadepalli, Guntur District, Andhra Pradesh - 522501"
Apollo Health City,"Chinagadhili, Visakhapatnam, Andhra Pradesh-530002"
Heema Hospital,"Bank Tinali, Itanagar, Arunachal Pradesh, PIN-791111"
MMI Narayana Hospital (A Unit of M/s Narayana Hrudayalaya Ltd.),"New Dhamtari Road, Lalpur, Raipur, Chhattisgarh, PIN-490001"
SSB Heart and Multispecialty Hospital,"Plot No, 69, Mathura Road, Near Neelam Flyover, Sector 20 A, Faridabad, Haryana 121001"
"Yatharth Super Speciality Hospital Faridabad, (A Unit of Pristine Infracon Private Limited)","RPS City, Sector 88, Faridabad-121002"
Narayana Superspecialty Hospital,"Plot 3201, Block - V, DLF Phase - III, Nathupur, Sector-24, Gurugram, Haryana-122002"
Fortis Memorial Research Institute (A Unit of Fortis Hospitals Limited),"Sector-44, Gurugram-122002"
Metro Heart Institute With Multi Speciality (A unit of Metro Speciality Hospitals Pvt. Ltd.),"Sector -16 A, Faridabad-12202 (Haryana)"
QRG Medicare Limited,"Plot No 1, Sector - 16, Faridabad-121002"
Artemis Hospital (A unit of Medicare Services Limited),"Sector-51, Gurugram, Haryana-122001"
Max Hospital (A unit of ALPS Hospital Limited),"B-Block, Sushant Lok- Phase-1, Gurugram-122001 HARYANA"
"Paras Healthcare Pvt. Ltd. (Paras Hospitals, Panchkula)","Plot No. H-2, HSIIDC, Technology Park, Sector-22, Near Nada Sahib Gurudwara, Panchkula, Haryana -134109"
Accord Superspecialty Hospital (A Unit of SCL Health Care Pvt Ltd),"Sector-86, Greater Faridabad 121002"
Amrita Institute of Medical Science and Research Centre,"Mata Amritanandamayi Marg, Sector-88, Faridabad-121002 (Haryana)"
Sarvodaya Hospital & Research Centre,"YMCA Road, Sector-8, Faridabad, PIN-121006 (Haryana)"
Fortis Escorts Hospital,"Neelam Bata Road, Faridabad-121001"
Medanta - The Medicity (A Unit of M/s Global Health Pvt. Ltd.),"Sector -38, Gurugram, Haryana-122001"
Umkal Hospital & M.P. Heart Research Centre,"A-520, Sushant Lok-I, Gurgaon-122002"
Asian Institute of Medical Sciences(A unit of M/s Blue Sapphire Healthcare Pvt. Ltd.),"Sector-21A, Faridabad, Haryana"
CIMS Hospital Private Limited,"Near Shukan Mal, Off. Science City Road, Sola, Ahmedabad-380060"
Apollo Hospital International Limited,"Plot No. - 1A, Bhat GIDC Estate, Gandhinagar-382428 (Gujrat)"
Shalby Multispecialty Hospital (A unit of Shalby Limited),"S G Highway, Ahmedabad (Gujrat) 380015"
SAL Hospital,"Opposite Doordarshan, Ahmedabad (Gujarat), Drive in Road, PIN-380054"
M/s Divyaram Medical and Research Institute Private Limited,"East Fort Guruvayoor Road, Near Pipe Line Junction, Thrissur, Kerala-680005"
Apollo Adlux Hospital,"Adlux junction, Karukutty, Angamali, Kerala -683576"
Ananthapuri Hospitals and Research Institute,"NH bypass 66, Airport Rd, Near Courtyard Garden, Chackai, Thiruvananthapuram, Kerala-695024"
Bishop Benziger Hospital,"Beach Road, Kollam, Kerala-691577"
Rajagiri Hospital,"Chunangamvely Aluva, Enarkulam, Kerala, 683112"
Fortis Escorts Hospital,"Jawahar Lal Nehru Marg, Malviya Nagar, Jaipur, Rajasthan-302017"
Narayana Multispecialty Hospital (A unit of Narayana Hrudayalaya Ltd.),"Sector-28, Pratap Nagar, Sanganer, Jaipur-302033 (Rajasthan)"
Rukmani Birla Hospital (A Unit of The Calcutta Medical Research Institute),"Gopalpura Byepass Road, Near Triveni Flyover, Jaipur, Rajasthan-302018"
Sarvodaya Hospital (A Unit of Anshu Hospitals Limited),"Gaur City-2, Noida (West), Gautam Buddha Nagar - 201301 (UP)"
ICare Eye Hospital & Post Graduate Institute(A Unit of Ishwar Charitable Trust),"E-3, Sector 26, Noida, Gautam Buddha Nagar(UP)"
Regency Hospital,"Khurram Nagar, Ring Road, Lucknow-226022 (UP)"
Apollo Hospital (Under the Management of Indraprastha Medical Corporation Limited),"E-2, Sector-26, Noida-201301 (U.P.)"
Fortis Hospital (A Unit of RR Life Sciences Pvt. Ltd.),"Plot No. SH-06, Site-IV, Surajpur Industrial Area, Greater Noida -201306"
Kailash Hospital & Neuro Institute (A Unit of Kailash Healthcare Limited),"NH-1, Sector-71, Noida, Gautam Budd Nagar - 201309 (U.P.)"
Yashoda Super Specialty Hospital,"H1, Kaushambi, Near Dabur Chowk Metro Station, Ghaziabad (UP)-201010"
Kailash Hospital Limited,"Plot No.23 KP 1, Greater Noida (UP)-201310"
Apollomedics Super Speciality Hospitals,"KBC-31, Sector-B, LDA Colony, Kanpur Road, Lucknow - 226012 (UP)Â "
Agarwal Eye Hospital & Dental Care Center(Only for eye),"A-371, Sector-19, Atta Peer Chowk, Noida U.P."
Max Super Specialty Hospital (A Unit of Crosslay Remedies Limited),"W-3, Sector-1, Vaishali, Ghaziabad -201012"
Kailash Hospital & Heart Institute (A unit of Kailash Healthcare Limited),"H-33, Sector-27, Noida-201301"
Fortis Hospital (A Unit of Fortis Hospitals Limited),"B-22, Sector-62, Gautam Budh Nagar, Noida-201301 (UP)"
