Country,Year,Rank,Total
Somalia,2023,1st,111.9
Yemen,2023,2nd,108.9
South Sudan,2023,3rd,108.5
Congo Democratic Republic,2023,4th,107.2
Syria,2023,5th,107.1
Afghanistan,2023,6th,106.6
Sudan,2023,7th,106.2
Central African Republic,2023,8th,105.7
Chad,2023,9th,104.6
Haiti,2023,10th,102.9
Ethiopia,2023,11th,100.4
Myanmar,2023,12th,100.2
Mali,2023,13th,99.5
Guinea,2023,14th,98.5
Nigeria,2023,15th,98
Zimbabwe,2023,16th,96.9
Libya,2023,17th,96.1
Ukraine,2023,18th,95.9
Eritrea,2023,19th,94.5
Burundi,2023,20th,94.2
Burkina Faso,2023,21st,94
Mozambique,2023,22nd,94
Cameroon,2023,23rd,94
Niger,2023,24th,93.4
Lebanon,2023,25th,91.8
Uganda,2023,26th,91.5
Iraq,2023,27th,91.4
Congo Republic,2023,28th,90.7
Venezuela,2023,29th,90.5
Sri Lanka,2023,30th,90.3
Guinea Bissau,2023,31st,89.9
Pakistan,2023,32nd,89.9
Liberia,2023,33rd,88.9
Palestine,2023,34th,87.9
Kenya,2023,35th,87.8
Cote d'Ivoire,2023,36th,87.1
Mauritania,2023,37th,87
North Korea,2023,38th,87
Angola,2023,39th,86.9
Iran,2023,40th,85.4
Bangladesh,2023,41st,85.2
Equatorial Guinea,2023,42nd,84.4
Malawi,2023,43rd,83.2
Rwanda,2023,44th,82.3
Comoros,2023,45th,82.2
Djibouti,2023,46th,82.2
Togo,2023,47th,82.1
Zambia,2023,48th,81.8
